Ewondo,English,français
mefan,bush,la brousse
mvus nnam,countryside,la campagne
sí,"earth, ground, soil","la terre, le sol"
,clay,l'argile
,mud,la boue
,dust,la poussière
,grass,l'herbe
,plant,la plante
ndi,large root,la grosse racine
,leaf / leaves,feuille(s)
flawa,flower,la fleur
zàm,raffia,le raphia
"adzab, [adzap]",shea tree,"le karité, le moabi"
dum / mum,baobab(s),""""
elé / bilé,tree(s),arbre(s)
elé afan,tree of the forest,l'arbre de la forêt
afan,"forest, wood","la forêt, le bois"
fidi,charcoal,le charbon de bois
dí,fire,le feu
,smoke,la fumée
,ash,la cendre
,volcano,le volcan
nkol,"mountain, hill","la montagne, la colline"
,cave,"la grotte, la caverne"
,valley,la vallée
,waterfall,"la chute d'eau,
la cascade"
etetàg,lake,le lac
nlup,"pond, puddle","l'étang, la mare"
elòbi,"swamp, marsh","le marais, le marécage"
"afúb, [afúp] / məfúb",field(s),champ(s)
ekanga,bridge,le pont
"nlod, osoe",river,"la rivière, le fleuve"
maŋ,sea,la mer
minkumdu,sea wave,la vague
elon,island,l'île
,beach,la plage
nkod-nnam,desert,le désert
,sand,le sable
"məkɔg, [məkɔk]",stones,"les pierres, les cailloux"
dâg,coal,le charbon
kalasina,"oil, (petroleum)",le pétrole
gaz,gas,le gaz
