Ewondo,English,français
bodo,to dress,se vêtir
ntóm,hat,le chapeau
yangis,headscarf,"le foulard, le bandana"
"nabken, [napken]",handkerchief,le mouchoir
"kod, [kot]","coat, jacket","le manteau, la veste"
waskod,waistcoat,le gilet
sòt,shirt,la chemise
kanda,leather belt,la ceinture en cuir
tolosìs (be),"trousers, pants","le pantalon, la culotte"
minkwé,baskets,les corbeilles
"mfəg, [mfək] / mimfəg",bag(s),sac(s)
"minkud, [minkut]",bags,les sacs
posi,"coin purse, wallet",le porte-monnaie
nkembé (mi),necklace,le collier
emvongá (bi),earrings,boucles d'oreilles
"okéndé, okéné (a),
elondé, elondó (bi)",ring,"la bague, l'anneau"
"akóm (me), okóm (a),
nsék (mi), ntsak (mi)",bangle,le bracelet
"ngit, angan (me)",amulet,l'amulette
kaba,"skirt, dress","la jupe, la robe"
zitogan,"socks, (stockings)",les chaussettes
"ngob, [ngop]",shoes,les chaussures
wagstik,walking stick,la canne
mbòt (mi) ,clothes ,les vêtements
təla,tailor,le tailleur
lad,"to sew, to unite","coudre, unir"
"silig, [silik]",silk,la soie
"sud, [sut]",cotton,le coton
velves,velvet,le velours
ekop (bi),leather,"le cuir, (la peau)"
ndamba,rubber,le caoutchouc
