Ewondo,English,français
á yób,"up, on, upon","en haut, sur"
á sí,"down, under","en bas, sous"
á,"at, in, into","à, dans, dedans"
anseŋ,out of,"hors de, dehors"
tele,around,autour
á mbó ngála,on the left,à gauche
á mbó nnómo,on the right,à droite
ósu,"in front of, ahead",devant
á mvús,"at the back, behind",derrière
á zaŋ,in the middle,au milieu
di,this,ceci
dili,that,"cela, ça"
"há, mu",here,ici
"hálá, mulu",there,là
"hali, muli",over there,là-bas
á mbág,"nearby, beside",à côté de
babi,near,"près de, proche"
oyab yə,"far, distant","loin de, lointain"
"hòm, vòm", the place ,le lieu
