Ewondo,English,français
dulu / mulu,travel(s),voyage(s)
awulu,to travel,voyager
valis,suitcase,la valise
zitima,"boat, (steamer)",le bateau
nsina-minkòŋ,,le train
"gare, banhog",train station,la gare
tiket,,le ticket
zen / mezen,"road(s), path(s)","route(s), chemin(s)"
"bus, otobus, otokar",,"l'autobus, l'autocar"
etye bus,bus stop,l'arrêt de bus
mətua / bə mətua,car(s),"voiture(s), auto(s)"
nda mətua,,le garage
"mətua, engin",motor,le moteur
benziŋ,"gasoline, (petrol)",l'essence
"helmed, [helmet]",,le casque
otòm,motorcycle,"la moto, le vélomoteur"
"nka nganda, basko","bicycle, bike","la bicyclette, le vélo"
