Ewondo,English,français
nye,"boundary, border(s)",frontière(s)
etsîga,flag,le drapeau
nnam,country,le pays
Kamerun,,le Cameroun
"Duálá
á Duálá",,"Douala
à Douala"
angola,capital city,la capitale
"edzedzala, dzal / mal","city, town(s)",ville(s)
nkukuma,president,le président
ngomena,government,le gouvernement
politik,politics,la politique
vór,,le vote
man bezimbi,soldier,"le soldat, le militaire"
ngal,"rifle, (gun)",le fusil
ntiman,translation,la traduction
nkɔbɔ éwondo,Ewondo language,la langue ewondo
bətí,,le beti
búlu,,le boulou
faŋ,,le fang
ntáŋán / bitáŋán,European(s),Européen(s)
fulensi,French,le français
ingliss,English,l'anglais
olò,slave,l'esclave
etuga,servant,le serviteur
ekua,maid,la bonne
