Ewondo,English,français
ndíŋ,beetle,le scarabée
fôm,ant,la fourmi
fufui,red ant,la fourmi rouge
sulug,safari ant,la fourmi magnan
akaŋ,"grasshopper, locust","la sauterelle, le criquet"
elului,tsetse fly,la mouche tsétsé
minsɔŋ,worms,les vers
nkoŋ / minkoŋ,caterpillar(s),chenille(s)
evulbébàs (bi),butterfly,le papillon
mvufoŋ,bee,l'abeille
afom (me),wasp,la guêpe
ngikilí (be),hornet,le frelon
enyónyón (bi),mosquito,le moustique
ténte (be),mosquito net,la moustiquaire
"fífiɛ, fífyɛ",cockroach,"le cafard, la blatte"
abob (me),spider,l'araignée
ndál-bobo (be),"spider web, cobweb",la toile d'araignée
kádá olədə,,le scorpion
