Ewondo,English,français
ekob,skin,la peau
esil / bisil,hair,"les cheveux, les poils"
nló / minló [plur.],head,la tête
asú,forehead,le front
ekokogolo,skull,le crâne
boó,brain,"le cerveau, (la cervelle)"
minsisim,"soul, spirit","l'âme, l'esprit"
bihiyem,dreams,les rêves
asu,face,le visage
alɔ / məlɔ,ear(s),oreille(s)
"a wóg, [wók]",to hear,entendre
bivulá,eyebrows,les sourcils
bivulá,eyelashes,les cils
eyé dís / biyé mís,eyelid(s),paupière(s)
dís / mís,eye(s),l'œil / les yeux
ayon,"to weep, to cry",pleurer
"dzóé, dzwé",nose,le nez
mimbóg mí dzóé,nostrils,les narines
abub,mustaches,les moustaches
amáŋ / məmáŋ,cheek(s),joue(s)
eyé anyu,lip,la lèvre
anyu,mouth,la bouche
oyəm,tongue,la langue
asoŋ / məsoŋ,tooth / teeth,dent(s)
eyəgəs,chin,le menton
zəl,beard,la barbe
kíŋ,neck,le cou
dɔl,nape of the neck,la nuque
eŋgɔn,throat,la gorge
abɛ / məbɛ,breast(s),sein(s)
"nkug, [nkuk]",chest,la poitrine
aŋgədəg,hip,la hanche
"dɔb, [dɔp]",navel,"le nombril, (l'ombilic)"
abum,belly,le ventre
"esəg, [esək]",liver,le foie
osaŋ,stomach,l'estomac
"nya, nyè / minyè",intestine(s),intestin(s)
otám,kidney,le rein
enyɔlɔg,urinary bladder,la vessie urinaire
vyé,"to urinate, to pee","uriner, ""pisser"""
esâga,lung,le poumon
"həbə, (vəbə)",to breathe,respirer
nnəm,heart,le cœur
meki,blood,le sang
nsis,"artery, vein","l'artère, la veine"
nsis,nerve,le nerf
mvús,"back, backbone",le dos
etúl / bitúl,shoulder(s),épaule(s)
enam / binam,arm(s),le bras / les bras
mvan,"armpit, (axilla)",l'aisselle
ekúd bɔŋ,elbow,le coude
ongás,wrist,le poignet
wɔ / mɔ,hand(s),main(s)
dóé,palm of the hand,la paume de la main
mod onyu,thumb,le pouce
onyu / mənyu,finger(s),doigt(s)
"dzyé / byé,
dzíé / bíé",fingernail(s),ongle(s)
nsɔd,penis,"le pénis, (la verge)"
mvɔ abin / məbin,testicle(s),testicule(s)
məki,"sperm, (semen)",le sperme
ebón,"vagina, womb","le vagin, l'utérus"
eláŋ,,l'anus
akan / məkan,buttock(s),fesse(s)
abɛ / məbɛ,thigh(s),cuisse(s)
akol / məkol,leg(s),jambe(s)
abɔŋ,knee,le genou
mbyán,calf,le mollet
mvɔŋɔlɔ,ankle,la cheville
ekíndi,heel,le talon
tín akol,sole of the foot,la plante du pied
akol / məkol,foot / feet,pied(s)
onyu akol / mənyu məkol,toe(s),doigt(s) de pied
