Ewondo,English,français
ngadan,garden,le jardin
fen,fence,"la clôture, la barrière"
abam,wooden board,la planche en bois
kabinda,"carpenter, (joiner)",le charpentier
mawad,bricklayer,le maçon
brik,brick,la brique
simen,cement,le ciment
mfim / mimfim,wall(s),mur(s)
wúndi,window,le fenêtre
mbɛ,door,la porte
edibəga / bidibəga,key(s),"clé(s), clef(s)"
nlaŋ,corridor,le couloir
abaa,room,"la salle, la pièce"
tablo,painting,"le tableau, la peinture"
foda,,la photo
television,,la télévision
radio,,la radio
"etun ndá,
etun a bombò",bedroom,la chambre (à coucher)
binòn,beds,les lits
"mfingá, (mfiŋá)",bed sheet,la couverture
fila,pillow,l'oreiller
abaaga,cushion,le coussin
bómbo,to go to bed,se coucher
kiendre,candle,"la bougie, (la chandelle)"
alamba / melamba,lamp(s),lampe(s)
elektrik,electricity,l'électricité
kasin,kitchen,la cuisine
,oven,le four
,"refrigerator, fridge",le frigo [pop.]
"kobod, [kobot]",cupboard,l'armoire
mintáŋán,shelves,les étagères
tebele,,la table
baŋ,bench,le banc
"sia, etoa / bitoa",chair(s),chaise(s)
tɔbɔ,to sit,s'asseoir
tawola,towel,la serviette
,sponge,l'éponge
"sɔbɔ, sabula",soap,le savon
,razor,le rasoir
faag,comb,le peigne
,mirror,le miroir
alobinda,perfume,le parfum
,toilet,"les toilettes, les W.C."
,"dustbin, trash can",la poubelle
nlongá,"bucket, pail",le seau
,broom,le balai
vwé,to sweep,balayer
nsina,,la machine
nsina osòb,washing machine,la machine à laver
hayan,flatiron,le fer à repasser
