Ewondo,English,français
Sí,Earth,la Terre
ngɔn,moon,la lune
"angúmá ngɔn, abòm ngɔn",full moon,la pleine lune
myàl,moonlight,le clair de lune
otitie,star,l'étoile
nlodzobo,sun,le soleil
"vián, (hián)",,la chaleur du soleil
"mfiɛ, mfyɛ","sunshine, light",la lumière
"edzindzin, nsísím (mi)","shadow, shade",l'ombre
"yób, [yóp]",sky,le ciel
nkúd / minkúd,cloud(s),nuage(s)
eyono,"fog, mist","le brouillard, la brume"
evúndu (bi),wind,"le vent, l'air"
nkulu,"storm, tornado","la tempête, la tornade"
"zeyan, ngál mven",thunder,le tonnerre
zeyan,"flash, lightning",l'éclair
ndútum (mi),rainbow,l'arc-en-ciel
ofob (a),drizzle,"la bruine, le crachin"
"mveŋ, ndum",rain,la pluie
nòn,to rain,pleuvoir
"otan (a), nganga",umbrella,"le parapluie, le parasol"
glas,ice,la glace
Abóg,weather ,"la météo, le climat"
