Ewondo,English,français
zəzə,zero,zéro
fòg,one,"un, une [m,f]"
bè,two,deux
là,three,trois
nyi,four,quatre
tan,five,cinq
saman,six,""""
zamgbal,seven,sept
moon,eight,huit
ebul,nine,neuf
awom,ten,dix
awóm a da,eleven,onze
awóm a bãh,twelve,douze
awóm a lãh,thirteen,treize
awóm a ngnĩnn,fourteen,quatorze
awóm a tán,fifteen,quinze
awóm a samaṅ,sixteen,seize
awóm a zamgbwal,seventeen,Dix-sept
awóm a mwôm,eighteen,Dix-huit
awóm a ebul,nineteen,Dix-neuf
mewóm mebãh,twenty,vingt
mewóm lãh,thirty,trente
