Ewondo,English,français
"wás, nkòlòg",watch,la montre
Awola a fə di ?,What time is it?,Quelle heure est-il ?
awola tsab-tsab,o'clock,l'heure précise
awola / mewola,hour(s),heure(s)
dilig / milig,minute(s),""""
akabla,second,la seconde
kíkídígi,"dawn, sunrise","l'aube, l'aurore"
kídí,morning,"le matin, la matinée"
"zaŋ amos, tólób","midday, noon",midi
amos,afternoon,l'après-midi
amos / memos,day(s),"jour(s), journée(s)"
ngogé,evening,"le soir, la soirée"
məvín mə ngogé,"dusk, sunset",le crépuscule
alú / məlú,night(s),nuit(s)
"zaŋ alú, tólób alú",midnight,minuit
ódzan,day before yesterday,avant-hier
angoge,yesterday,hier
ána,today,aujourd'hui
okídí,tomorrow,demain
ódzan,day after tomorrow,après-demain
sɔndɔ,week,la semaine
məmaná mə sɔndɔ,weekend,la fin de semaine
awae,"holidays, vacation",les vacances
awae sikúlu,school holidays,les congés scolaires
"abɔg, [abɔk]",feast,la fête
samba,to celebrate,faire la fête
ngɔn,month,le mois
mbú,year,"l'an, l'année"
Mbəmbə mbú !,Happy new Year!,Bonne année !
Mbəmbə abyali !,Happy birthday!,Joyeux anniversaire !
Paska,Easter,Pâques
Kirîsimɛd,"Christmas, Xmas",la Noël
"bifáɛ, (atom)",gifts,les cadeaux
"esəb, [esəp]",century,le siècle
abóg  ,time,le temps
osusua,before,avant
amvus,after,après
etoa bendzi,now,maintenant
etoa dzi,soon,bientôt
osusua,early,tôt
"mvúa, mvúsa,
mvúmvúá",late,tard
"átén, to eyon",never,jamais
ndóbélán,"seldom, rarely",rarement
á biyɔŋ bízin,sometimes,parfois
biyɔŋ bivɔg,from time to time,de temps en temps
mbàn (mi),"often, frequently",souvent
"kóm ésə,
abok áse (me)","always, forever",toujours
