Ewondo,English,français
enyiŋ,the life,la vie
mvɔé,healthy,en bonne santé
Ma kɔn,I am ill,Je suis malade
ankokoan,disease,la maladie
fiba,fever,la fièvre
pimpan,,l'ambulance
"dobdo, wadfida",hospital,l'hôpital
doabra,"physician,
medical doctor","le médecin,
le ""docteur"""
doabra mesoŋ,dentist,le dentiste
,surgeon,le chirurgien
,nurse,l'infirmière
,"pharmacy, drugstore
pharmacist","la pharmacie
le pharmacien"
mebala,medication / medicines,les médicaments
,condom,"le préservatif,
la ""capote"" [pop.]"
,AIDS,le SIDA
,,le virus
,bacterium / bacteria,bactérie(s)
tàà,tobacco,le tabac
siga,,la cigarette
mvîtaa,,la pipe
akud,madman,le fou
