Ewondo,English,français
mbəmbə asoán,welcome,bienvenue
Onə mvɔé ?,How are you?,Tu vas bien ?
"Owé, mene mvɔé","Yes, I am fine","Oui, je vais bien"
abé,"bad, badly","mal, mauvais"
Masug !,Hi!,Salut !
mbəmbə amos,good afternoon,bonjour
"mbəmbə kídí,
","good morning,
",bonjour
mbəmbə ngogé,good evening,bonsoir
mbəmbə alú,good night,bonne nuit
bîbála,see you soon,à bientôt
eban,see you later,à plus tard
o kələg mbəŋ,goodbye,"au revoir, (adieu)"
Ma diŋ,I love,J'aime
Ma diŋ wa,I love you,Je t'aime
dzoe / moe,name(s),nom(s)
Onə dzwé yá ?,What's your name?,Quel est ton nom ?
Mənə dzwé na ...,My name is ...,Mon nom est ...
ngòn,miss,mademoiselle
"ngal, nga",madam,madame
"manti, nti",mister,"monsieur,
[litt. ""petit du Seigneur""]"
Nti,Lord,le Seigneur
man,"small, little",petit
"A ntomba !
A ngal / manti !",,Oh noble !
bidzuga,please,s'il vous plaît
abuí ngaŋ,thanks so much,merci beaucoup
abuí,"a lot, much",beaucoup
tsətsad,a little,peu
Yə otɔ vé ?,Where do you live?,Où habites-tu ?
Mətɔ á nnam Fulansí,I live in France,J'habite en France
mane Fulansí,French man,un Français
Ma koba/kobo Ewondo,I speak Ewondo,Je parle ewondo
kig,not,ne pas
ai,no,non
"owé, (yàà)",yes,oui
tege,no,non
dzu ma,excuse me,"excusez-moi, pardon"
