Ewondo,English,français
nkob,"postbox, mailbox",la boîte postale
nledan bəkalara,"postman, mailman","le postier, le facteur"
kalara / bəkalara,mail,"le courrier, lettre(s)"
"leta mbòg, [mbòk]",letter,la lettre
kart postal dzia,postcard,la carte postale
timber mbòg,postage stamp,le timbre
mfəg / mimfəg,envelope(s),enveloppe(s)
mbəgə,parcel,"le colis, le paquet"
afəb,sheet of paper,la feuille de papier
"ntil
tili","writing
to write","l'écriture
écrire"
tinte,ink,l'encre
"nkos, kreyon",pencil,le crayon
grifen,,le crayon d'ardoise
kre,chalk,la craie
nombo,number,le numéro
"nkòl, telefon",phone,le téléphone
Hallo !,,Allo !
